,name,state,categories,lat,long,city,Active Life,Arts & Entertainment,Automotive,Beauty & Spas,Education,Event Planning & Services,Financial Services,Food,Health & Medical,Home Services,Hotels & Travel,Local Flavor,Local Services,Mass Media,Nightlife,Pets,Professional Services,Religious Organizations,Restaurants,Shopping
"Gilbert, CA",gilbert,california,"Counter({'Restaurants': 6890719232215369700206834758989071, 'Shopping': 5962248293318502783722713648928476, 'Home Services': 5429021838473083657752107401029605, 'Health & Medical': 4661533703292643542300072048557027, 'Beauty & Spas': 3890012508169134929659738321289250, 'Food': 3824668220620353818436882845337883, 'Local Services': 3242074404470338366115607099186565, 'Automotive': 2907287394868420706910941310786937, 'Active Life': 1903481979946783989420474088534540, 'Event Planning & Services': 1623691806942211854224776976919123, 'Professional Services': 1618953607338658291161500884142035, 'Nightlife': 1540643236079888206610020692351641, 'Arts & Entertainment': 894178000624518789335408200827860, 'Hotels & Travel': 889486415745457826827920367537559, 'Financial Services': 852874727769491357994065875200972, 'Education': 795973239143100554783671432041659, 'Pets': 783108439181914313839268282767275, 'Local Flavor': 218689470422246865570063017606827, 'Religious Organizations': 135896026850994419164091632062533, 'Mass Media': 67330478852807982160683806582021})",33.2894324,-111.7134666,gilbert,1.90348E+33,8.94178E+32,2.90729E+33,3.89001E+33,7.95973E+32,1.62369E+33,8.52875E+32,3.82467E+33,4.66153E+33,5.42902E+33,8.89486E+32,2.18689E+32,3.24207E+33,6.73305E+31,1.54064E+33,7.83108E+32,1.61895E+33,1.35896E+32,6.89072E+33,5.96225E+33
"Huntingdon, QC",huntingdon,QC,"Counter({'Restaurants': 1577752324782254903718089271124473635514541673299, 'Food': 579319043875726980235645451682535357499861765721, 'Shopping': 260095696381312475720261108935004778300808606169, 'Nightlife': 233237410589257726001371754014949558490104524250, 'Event Planning & Services': 138027235772699693554465223887491502119108267434, 'Hotels & Travel': 110629808556121652031283143185289807196179837124, 'Beauty & Spas': 108638860750582600548061587575935129055632990393, 'Active Life': 82621146376666648404138064964108278104546775062, 'Arts & Entertainment': 76678763786049493788572871289565195873537032939, 'Health & Medical': 48601629075883013351795005049263370044562663259, 'Local Services': 44745404107243897383786449398262119449067005812, 'Home Services': 38345665783181055876582288375367216141212644485, 'Automotive': 35823026587172302137493498784287016031089160637, 'Pets': 19267831306994534130592895614847525816758711055, 'Local Flavor': 19068808634784137578074036052435943329193293045, 'Education': 15831129994926500304376059804539679804445627784, 'Professional Services': 11255734368587915884077355037182702674906531448, 'Financial Services': 3577279010847464815221361743400493745764126921, 'Religious Organizations': 2682661693938566883930441616794997385688145705, 'Mass Media': 1340137994952326236549484584436471708615295304})",45.0876683,-74.1733326,huntingdon,8.26211E+46,7.66788E+46,3.5823E+46,1.08639E+47,1.58311E+46,1.38027E+47,3.57728E+45,5.79319E+47,4.86016E+46,3.83457E+46,1.1063E+47,1.90688E+46,4.47454E+46,1.34014E+45,2.33237E+47,1.92678E+46,1.12557E+46,2.68266E+45,1.57775E+48,2.60096E+47
"Murrysville (Monroeville), PA",murrysville monroeville,pennsylvania,"Counter({'Restaurants': 14253309568817190258065828193589611078993414390847977363998141, 'Food': 7173964962545141853183475982746221757401605635630747369773406, 'Shopping': 6523825385306671328802480272427880964272937887078651330905903, 'Nightlife': 3503185128004730733711021845714372804629248084840895996376165, 'Beauty & Spas': 3386119450506912510011123070353214622077170605142174992981695, 'Automotive': 3005161758520680256453391103152938738191436037178096463475106, 'Home Services': 2967426749858327082147496793834896474678094359058907610665495, 'Local Services': 2369092377909570289652749400453308576379348684407403606913798, 'Health & Medical': 2360323976605526362961593103953887103112292987847290151365447, 'Event Planning & Services': 2261900553278006025294283058547670033038045240051683722627837, 'Active Life': 1991907450970224496011669762510704832589040667161812882349534, 'Arts & Entertainment': 1256851761130349867378584601058089433753680965911491983559005, 'Hotels & Travel': 1216910408007764315360360191865030723834525273791247273978959, 'Pets': 1037162390449135468344084099919070701894968983437616016563866, 'Professional Services': 647800829721910954481607082769046140403289060585106016476376, 'Education': 508561018805798458003754654280896099654857470105357833168307, 'Local Flavor': 356203100407967786833258594194122205244891124914782630203882, 'Financial Services': 322082413834916404705441359164696497683536178697970122368979, 'Religious Organizations': 139463053156277077494975133883638763985983428323423095086476, 'Mass Media': 49312669427445874873797020527363895990709336633147080600167})",40.4275797,-79.70784694,murrysville monroeville,1.99191E+60,1.25685E+60,3.00516E+60,3.38612E+60,5.08561E+59,2.2619E+60,3.22082E+59,7.17396E+60,2.36032E+60,2.96743E+60,1.21691E+60,3.56203E+59,2.36909E+60,4.93127E+58,3.50319E+60,1.03716E+60,6.47801E+59,1.39463E+59,1.42533E+61,6.52383E+60
"West Elizabeth, PA",west elizabeth,pennsylvania,"Counter({'Restaurants': 28506619152944304220136158090710896391784491618041900513339649, 'Food': 14347929932796062894104197272790809212785912956559394896448663, 'Shopping': 13047650777620786677890936980516658255432147150396148111533548, 'Nightlife': 7006370259772341714413440721677603087705901617861321141204668, 'Beauty & Spas': 6772238904650961376993163897495922254486644350421278332951206, 'Automotive': 6010323520269298348607747150562481013882504656760869252404977, 'Home Services': 5934853502904059651996270897019810038350695253886118314968318, 'Local Services': 4738184758363856483946026148969886412124114535902985838965683, 'Health & Medical': 4720647955746350217645446582022018765365092751585634531541562, 'Event Planning & Services': 4523801108985589878077341418939691951572590242888552838861652, 'Active Life': 3983814904080018819827404319663513514991275455002279771736157, 'Arts & Entertainment': 2513703523610723353990619158754921385678754731028144107438150, 'Hotels & Travel': 2433820817322649998656738373799396099867989683033887679973511, 'Pets': 2074324782012319361004886288209280837781787414791646189297635, 'Professional Services': 1295601660139644954870459884248711755853462745840979798175634, 'Education': 1017122038157858144612375432900627221363529512293061134539135, 'Local Flavor': 712406201198544417180774423335878767629479752710139359940590, 'Financial Services': 644164828015791560843752741112482375080938640399887399236366, 'Religious Organizations': 278926106462355763735007018024345071359410950052431412298629, 'Mass Media': 98625338907860023742476696888327741487058103541388302148517})",40.2727427,-79.8959742,west elizabeth,3.98381E+60,2.5137E+60,6.01032E+60,6.77224E+60,1.01712E+60,4.5238E+60,6.44165E+59,1.43479E+61,4.72065E+60,5.93485E+60,2.43382E+60,7.12406E+59,4.73818E+60,9.86253E+58,7.00637E+60,2.07432E+60,1.2956E+60,2.78926E+59,2.85066E+61,1.30477E+61
"Broadlands, IL",broadlands,illinois,"Counter({'Restaurants': 765363481, 'Shopping': 386566380, 'Food': 372759537, 'Home Services': 239501905, 'Local Services': 175961157, 'Beauty & Spas': 174910366, 'Automotive': 158499823, 'Nightlife': 152366313, 'Event Planning & Services': 140079326, 'Hotels & Travel': 111892369, 'Health & Medical': 107281266, 'Active Life': 82725086, 'Pets': 65694573, 'Arts & Entertainment': 65536029, 'Professional Services': 44074167, 'Education': 29952189, 'Local Flavor': 20256959, 'Financial Services': 16855239, 'Mass Media': 5011017, 'Religious Organizations': 4555470})",39.933592,-88.010371,broadlands,82725086,65536029,158499823,174910366,29952189,140079326,16855239,372759537,107281266,239501905,111892369,20256959,175961157,5011017,152366313,65694573,44074167,4555470,765363481,386566380
"Schaumburg, IL",schaumburg,illinois,"Counter({'Restaurants': 6259878504012210472400385022947158, 'Shopping': 5416408457398232591905457318378522, 'Home Services': 4931998527176140275636364648891448, 'Health & Medical': 4234773416473749453046401684069376, 'Beauty & Spas': 3533884469763503983962960609943190, 'Food': 3474522407952272894071858827725593, 'Local Services': 2945264665271699048047929979703061, 'Automotive': 2641127182056351599540496404150869, 'Active Life': 1729219480215654372556427014032766, 'Event Planning & Services': 1475043910060826613544621044219569, 'Professional Services': 1470739489455886620349920984510309, 'Nightlife': 1399598380209677117989196087457053, 'Arts & Entertainment': 812316603860590106982900842628917, 'Hotels & Travel': 808054530433352181770979216256358, 'Financial Services': 774794617957906304323177966662314, 'Education': 723102422485283376601706357561140, 'Pets': 711415386339775563834344108072262, 'Local Flavor': 198668595950021442254577591925618, 'Religious Organizations': 123454836657407680469320850475380, 'Mass Media': 61166418632331239828035498874931})",33.6390527,-112.2080113,schaumburg,1.72922E+33,8.12317E+32,2.64113E+33,3.53388E+33,7.23102E+32,1.47504E+33,7.74795E+32,3.47452E+33,4.23477E+33,4.932E+33,8.08055E+32,1.98669E+32,2.94526E+33,6.11664E+31,1.3996E+33,7.11415E+32,1.47074E+33,1.23455E+32,6.25988E+33,5.41641E+33
"Ft. Mill, SC",ft mill,south carolina,"Counter({'Restaurants': 1240492611692945480705639, 'Shopping': 690113637339402735854283, 'Food': 643803708690522530613379, 'Beauty & Spas': 438210521744268636887658, 'Home Services': 406970791307231480012428, 'Health & Medical': 329516591952397539805203, 'Automotive': 326643932819589823088444, 'Local Services': 299241737816048735780475, 'Nightlife': 256026464395923664240478, 'Event Planning & Services': 237154026707591899542264, 'Active Life': 221159419058863207610922, 'Hotels & Travel': 130880649165879207661928, 'Arts & Entertainment': 118688560545037107857177, 'Pets': 117324433251160790080831, 'Professional Services': 102441382580226432743281, 'Education': 62359126154475644676099, 'Financial Services': 42254299045220105478261, 'Local Flavor': 33413788213275724950411, 'Religious Organizations': 12300211902835621080744, 'Mass Media': 3349086389091637440713})",35.0047271,-80.9497367,ft mill,2.21159E+23,1.18689E+23,3.26644E+23,4.38211E+23,6.23591E+22,2.37154E+23,4.22543E+22,6.43804E+23,3.29517E+23,4.06971E+23,1.30881E+23,3.34138E+22,2.99242E+23,3.34909E+21,2.56026E+23,1.17324E+23,1.02441E+23,1.23002E+22,1.24049E+24,6.90114E+23
"St. Sauveur, QC",st sauveur,QC,"Counter({'Restaurants': 85027844310527146982354583326798922802936190461, 'Food': 31220520924022009781487801989524896791084161796, 'Shopping': 14017013970047873196426315753877082593487302630, 'Nightlife': 12569573768627382458489452316350225503409039930, 'Event Planning & Services': 7438530198656646699637406572435356223217518494, 'Hotels & Travel': 5962034718796272234905533728640870674233324499, 'Beauty & Spas': 5854739044195936434884047415447323030107213433, 'Active Life': 4452598713072419285295848464813266843555709504, 'Arts & Entertainment': 4132353276692970900140465511904826827925273519, 'Health & Medical': 2619227166008133823286606616634705003436817004, 'Local Services': 2411408428485395142822016722096627683074443987, 'Home Services': 2066515288225482670749433951565000118499567843, 'Automotive': 1930565830607368867175956662232101347337771282, 'Pets': 1038377275595986588743343809558632441927184451, 'Local Flavor': 1027651594181252409622834144357041291723627718, 'Education': 853167404873955681793472402097226097269679111, 'Professional Services': 606591297290609394714474035457660983052439685, 'Financial Services': 192785849852341662523198382810794839492620880, 'Religious Organizations': 144573351131967833411385531848565758212518812, 'Mass Media': 72222390675389739783751012997154482224901169})",45.89241,-74.1487334,st sauveur,4.4526E+45,4.13235E+45,1.93057E+45,5.85474E+45,8.53167E+44,7.43853E+45,1.92786E+44,3.12205E+46,2.61923E+45,2.06652E+45,5.96203E+45,1.02765E+45,2.41141E+45,7.22224E+43,1.25696E+46,1.03838E+45,6.06591E+44,1.44573E+44,8.50278E+46,1.4017E+46
"Auburn, OH",auburn,ohio,"Counter({'Restaurants': 2216665042313346913286825547173924683105765778097194986040, 'Food': 1048404057856207679124064276065947304299398050181965532842, 'Shopping': 967966047520985733767568803630837973325142539638162398745, 'Nightlife': 600751905375322760304007039736372656786919331687406827187, 'Beauty & Spas': 510153997400865887209895236143061678055635935703641058233, 'Automotive': 456291954194989642508813042397004289838743907410678842921, 'Home Services': 406897935513359518388205306949433208049688991129082062387, 'Event Planning & Services': 384081171670042960784019098218502724778627875244962115932, 'Local Services': 357039162076038325861571125682436500705715700307483807526, 'Health & Medical': 321194640582202272319802444293781527502921739578538746248, 'Active Life': 287167629867282029392504197137305596724376296968692497385, 'Hotels & Travel': 222903283824815343402548886265580223828491142894557420159, 'Arts & Entertainment': 211660050919805377542441290834531782193832006079106692203, 'Pets': 165128867430862024770481739272165094245849089826764202520, 'Professional Services': 95810025612714922686250503170834437701941298263065360871, 'Education': 70652502320600236970190865321922363795618497940322197286, 'Local Flavor': 38643418421834215695966585374120171941809940410421380534, 'Financial Services': 37746358039358007442417251068793914190414481548681331027, 'Religious Organizations': 13262100969008370661437863980064471335927301059103909714, 'Mass Media': 5679436734509736845927372863514540822074732897202494709})",41.35196686,-81.22325134,auburn,2.87168E+56,2.1166E+56,4.56292E+56,5.10154E+56,7.06525E+55,3.84081E+56,3.77464E+55,1.0484E+57,3.21195E+56,4.06898E+56,2.22903E+56,3.86434E+55,3.57039E+56,5.67944E+54,6.00752E+56,1.65129E+56,9.581E+55,1.32621E+55,2.21667E+57,9.67966E+56
"SW Calgary, AB",sw calgary,AB,"Counter({'Restaurants': 52711716447, 'Food': 27064663935, 'Shopping': 26026856446, 'Beauty & Spas': 14449278173, 'Nightlife': 11666390784, 'Automotive': 9478545404, 'Health & Medical': 7781220352, 'Home Services': 7597948912, 'Local Services': 6868533240, 'Active Life': 6269402112, 'Event Planning & Services': 5997853696, 'Arts & Entertainment': 4162060288, 'Hotels & Travel': 4047454208, 'Pets': 3227516672, 'Professional Services': 2147090432, 'Education': 1895301120, 'Local Flavor': 1186447360, 'Financial Services': 771751936, 'Mass Media': 251658240, 'Religious Organizations': 117440512})",50.99697564,-114.0739399,sw calgary,6269402112,4162060288,9478545404,14449278173,1895301120,5997853696,771751936,27064663935,7781220352,7597948912,4047454208,1186447360,6868533240,251658240,11666390784,3227516672,2147090432,117440512,52711716447,26026856446
"Chandler-Gilbert, AZ",chandlergilbert,arizona,"Counter({'Restaurants': 13781468352937892092480491136705419, 'Shopping': 11924522447899778812652884942607402, 'Home Services': 10858067225338226696481386318677920, 'Health & Medical': 9323087625996169768880555725389293, 'Beauty & Spas': 7780041889274571037709606704156640, 'Food': 7649353030746043197265985620437642, 'Local Services': 6484162871444279337722479389613146, 'Automotive': 5814587400101183383921057733325350, 'Active Life': 3806972216250104271646549186342209, 'Event Planning & Services': 3247390656650577736971006388520807, 'Professional Services': 3237914236891521246893483917123666, 'Nightlife': 3081293154702603878864476774351595, 'Arts & Entertainment': 1788359879747735145472233172734281, 'Hotels & Travel': 1778976689639855308438356975981246, 'Financial Services': 1705753154884659450711720230687466, 'Education': 1591949930821567846805846204801144, 'Pets': 1566220275098102227902439080573164, 'Local Flavor': 437379889410467856941404777937007, 'Religious Organizations': 271792643151251488452418642165155, 'Mass Media': 134661249751689961642442218769517})",33.3091946,-111.8210866,chandlergilbert,3.80697E+33,1.78836E+33,5.81459E+33,7.78004E+33,1.59195E+33,3.24739E+33,1.70575E+33,7.64935E+33,9.32309E+33,1.08581E+34,1.77898E+33,4.3738E+32,6.48416E+33,1.34661E+32,3.08129E+33,1.56622E+33,3.23791E+33,2.71793E+32,1.37815E+34,1.19245E+34
"Harwick, PA",harwick,pennsylvania,"Counter({'Restaurants': 57013238305888608440272316181421792783568983236083801026679296, 'Food': 28695859865592125788208394545581618425571825913118789792897326, 'Shopping': 26095301555241573355781873961033316510864294300792296223067096, 'Nightlife': 14012740519544683428826881443355206175411803235722642282409335, 'Beauty & Spas': 13544477809301922753986327794991844508973288700842556665902412, 'Automotive': 12020647040538596697215494301124962027765009313521738504809954, 'Home Services': 11869707005808119303992541794039620076701390507772236629936636, 'Local Services': 9476369516727712967892052297939772824248229071805971677931366, 'Health & Medical': 9441295911492700435290893164044037530730185503171269063083124, 'Event Planning & Services': 9047602217971179756154682837879383903145180485777105677723304, 'Active Life': 7967629808160037639654808639327027029982550910004559543472314, 'Arts & Entertainment': 5027407047221446707981238317509842771357509462056288214876300, 'Hotels & Travel': 4867641634645299997313476747598792199735979366067775359947022, 'Pets': 4148649564024638722009772576418561675563574829583292378595270, 'Professional Services': 2591203320279289909740919768497423511706925491681959596351268, 'Education': 2034244076315716289224750865801254442727059024586122269078270, 'Local Flavor': 1424812402397088834361548846671757535258959505420278719881180, 'Financial Services': 1288329656031583121687505482224964750161877280799774798472732, 'Religious Organizations': 557852212924711527470014036048690142718821900104862824597258, 'Mass Media': 197250677815720047484953393776655482974116207082776604297034})",40.5556544,-79.8079862,harwick,7.96763E+60,5.02741E+60,1.20206E+61,1.35445E+61,2.03424E+60,9.0476E+60,1.28833E+60,2.86959E+61,9.4413E+60,1.18697E+61,4.86764E+60,1.42481E+60,9.47637E+60,1.97251E+59,1.40127E+61,4.14865E+60,2.5912E+60,5.57852E+59,5.70132E+61,2.60953E+61
"Central City Village, AZ",central city village,arizona,"Counter({'Restaurants': 34705528845415461653955834299266803, 'Shopping': 30029228176921172051032815469239771, 'Home Services': 27343600525273745906831396305450469, 'Health & Medical': 23478099593311470619661033186306490, 'Beauty & Spas': 19592285908286340802126849180639421, 'Food': 19263175407628451739544879013225015, 'Local Services': 16328906021491448733563817066296972, 'Automotive': 14642730772253462454855138063788131, 'Active Life': 9587003407847875731247048729193535, 'Event Planning & Services': 8177823089706817868987149169140559, 'Professional Services': 8153958857618000604704145097474257, 'Nightlife': 7759543883356647033096934635759492, 'Arts & Entertainment': 4503582187549537119640621879127561, 'Hotels & Travel': 4479952733371556156162549470980321, 'Financial Services': 4295555727731152612365544468444425, 'Education': 4008967900202532229717427805288999, 'Pets': 3944173548394367590154481162314134, 'Local Flavor': 1101442892701901133887450197360581, 'Religious Organizations': 684448650556646481955744152233084, 'Mass Media': 339114074634920238996562073196669})",33.43523136,-111.9967477,central city village,9.587E+33,4.50358E+33,1.46427E+34,1.95923E+34,4.00897E+33,8.17782E+33,4.29556E+33,1.92632E+34,2.34781E+34,2.73436E+34,4.47995E+33,1.10144E+33,1.63289E+34,3.39114E+32,7.75954E+33,3.94417E+33,8.15396E+33,6.84449E+32,3.47055E+34,3.00292E+34
"Mesa Arizona, AZ",mesa arizona,arizona,"Counter({'Restaurants': 69136596089202888171812333706490200, 'Shopping': 59820976322986100779184995127784331, 'Home Services': 54470959758623332541356627614637104, 'Health & Medical': 46770527421001251082577888337762920, 'Beauty & Spas': 39029630216521167393810404650306659, 'Food': 38374011918524664604704041209180431, 'Local Services': 32528678217664911306639386144732851, 'Automotive': 29169662492492430501826702926812367, 'Active Life': 19098189953147669466005285778231052, 'Event Planning & Services': 16290973532210100779563119290921607, 'Professional Services': 16243433793448231962796798379458154, 'Nightlife': 15457722995364753790459330421516238, 'Arts & Entertainment': 8971548713232517855014974469947056, 'Hotels & Travel': 8924476673599063282343919131676236, 'Financial Services': 8557140928455876640850011246245873, 'Education': 7986231694823906700802753793806926, 'Pets': 7857155404133279558560137557722567, 'Local Flavor': 2194175248769155548447057277505809, 'Religious Organizations': 1363484478456111647711313881960660, 'Mass Media': 675546334724570866435580886045553})",33.3622129,-111.85955,mesa arizona,1.90982E+34,8.97155E+33,2.91697E+34,3.90296E+34,7.98623E+33,1.6291E+34,8.55714E+33,3.8374E+34,4.67705E+34,5.4471E+34,8.92448E+33,2.19418E+33,3.25287E+34,6.75546E+32,1.54577E+34,7.85716E+33,1.62434E+34,1.36348E+33,6.91366E+34,5.9821E+34
"Morgan Hill, CA",morgan hill,california,"Counter({'Restaurants': 137665487550515243603667198630952069, 'Shopping': 119116131500402583508250517604550096, 'Home Services': 108463124548974803949059520954626611, 'Health & Medical': 93129945999936406994316206693989810, 'Beauty & Spas': 77716193399819676289870797485468356, 'Food': 76410719631277824486734889819522694, 'Local Services': 64771432201129289147790249783334475, 'Automotive': 58082926204983875266060935157691880, 'Active Life': 38028508488329003128438927846425391, 'Event Planning & Services': 32438750833069836266852969810267193, 'Professional Services': 32344089225688519579259693395212037, 'Nightlife': 30779573958661094910421138470064730, 'Arts & Entertainment': 17864238298582281790257015692077481, 'Hotels & Travel': 17770507978423393936747001737725640, 'Financial Services': 17039065337182830041696223360607475, 'Education': 15902265112109118095514899380142030, 'Pets': 15645247100024599666300657432280741, 'Local Flavor': 4369063889164368943191421879187184, 'Religious Organizations': 2714984047696478859339740640315354, 'Mass Media': 1345154676299509048096500075845852})",33.31008271,-111.8970022,morgan hill,3.80285E+34,1.78642E+34,5.80829E+34,7.77162E+34,1.59023E+34,3.24388E+34,1.70391E+34,7.64107E+34,9.31299E+34,1.08463E+35,1.77705E+34,4.36906E+33,6.47714E+34,1.34515E+33,3.07796E+34,1.56452E+34,3.23441E+34,2.71498E+33,1.37665E+35,1.19116E+35
"North Scottsdale, AZ",north scottsdale,arizona,"Counter({'Restaurants': 117863792356893365317084188448074527, 'Shopping': 101982561056693175466402702687074963, 'Home Services': 92861874226314634166729732799165631, 'Health & Medical': 79734207991072588812112825849413016, 'Beauty & Spas': 66537557412734633612032888468952520, 'Food': 65419861961822674048963845548603248, 'Local Services': 55454760459197795542706400954036858, 'Automotive': 49728323892311364117686571107526153, 'Active Life': 32558517809091875450527141576962758, 'Event Planning & Services': 27772786487993192772687231093481819, 'Professional Services': 27691740931586273875513558670153161, 'Nightlife': 26352264307102261713672334978461399, 'Arts & Entertainment': 15294660345902240660071126221934225, 'Hotels & Travel': 15214412121097904455716124109272159, 'Financial Services': 14588179612703081222016122837854605, 'Education': 13614895835749238956908928543209158, 'Pets': 13394847091889632358412152053243253, 'Local Flavor': 3740621183922453761593025703178372, 'Religious Organizations': 2324462882772669135416150912761661, 'Mass Media': 1151668688182233176701367685118368})",33.7605763,-111.9164779,north scottsdale,3.25585E+34,1.52947E+34,4.97283E+34,6.65376E+34,1.36149E+34,2.77728E+34,1.45882E+34,6.54199E+34,7.97342E+34,9.28619E+34,1.52144E+34,3.74062E+33,5.54548E+34,1.15167E+33,2.63523E+34,1.33948E+34,2.76917E+34,2.32446E+33,1.17864E+35,1.01983E+35
"Saint-Henri, QC",sainthenri,QC,"Counter({'Restaurants': 16896693512698087473667967301701856510705935609752, 'Food': 6204127337786285989804794372256625846373723527048, 'Shopping': 2785454470069206195541516585616077145796765187460, 'Nightlife': 2497819829209187981866789896638214140312194846139, 'Event Planning & Services': 1478181247223382175096986668530013256805689678683, 'Hotels & Travel': 1184772755000839911255944345650824433900683347703, 'Beauty & Spas': 1163451008652207599594138620449368354951121343687, 'Active Life': 884818336862198765940454525088963182177874127608, 'Arts & Entertainment': 821179313302079457207153392680372574713018375235, 'Health & Medical': 520491599228900359388180545560615200628995315377, 'Local Services': 479193956761410225455012078632788828749116371218, 'Home Services': 410656952996841828309768402571649854257857449522, 'Automotive': 383641140268464711726872934749708705276080736069, 'Pets': 206345847275862168751021791405657267186110630788, 'Local Flavor': 204214444874106019994578365660100659165885548291, 'Education': 169541028260485327870201643395591735222553082088, 'Professional Services': 120541539314556022710189680009471049035401702577, 'Financial Services': 38310314050108766630223906835821695370215802963, 'Religious Organizations': 28729548820022283087343611167379326313558064649, 'Mass Media': 14351999746573829694297205304630441798062700578})",45.4748309,-73.5871042,sainthenri,8.84818E+47,8.21179E+47,3.83641E+47,1.16345E+48,1.69541E+47,1.47818E+48,3.83103E+46,6.20413E+48,5.20492E+47,4.10657E+47,1.18477E+48,2.04214E+47,4.79194E+47,1.4352E+46,2.49782E+48,2.06346E+47,1.20542E+47,2.87295E+46,1.68967E+49,2.78545E+48
"Promenade, NC",promenade,north carolina,"Counter({'Restaurants': 2480985351217392948861954, 'Shopping': 1380227345794313916958634, 'Food': 1287607483724362458892450, 'Beauty & Spas': 876421088645685855928189, 'Home Services': 813941624552389093107141, 'Health & Medical': 659033217861144744260128, 'Automotive': 653287899299504708823731, 'Local Services': 598483506468654208604859, 'Nightlife': 512052955175114091843915, 'Event Planning & Services': 474308077853665052939987, 'Active Life': 442318860907979618249953, 'Hotels & Travel': 261761311818876199230647, 'Arts & Entertainment': 237377133320809667254455, 'Pets': 234648878592485101447884, 'Professional Services': 204882775716933151999645, 'Education': 124718258734995816997118, 'Financial Services': 84508602444702752678671, 'Local Flavor': 66827579869808341665505, 'Religious Organizations': 24600425073195568773320, 'Mass Media': 6698173123303221076897})",35.0623226,-80.7717539,promenade,4.42319E+23,2.37377E+23,6.53288E+23,8.76421E+23,1.24718E+23,4.74308E+23,8.45086E+22,1.28761E+24,6.59033E+23,8.13942E+23,2.61761E+23,6.68276E+22,5.98484E+23,6.69817E+21,5.12053E+23,2.34649E+23,2.04883E+23,2.46004E+22,2.48099E+24,1.38023E+24
"W Spring Valley, NV",w spring valley,nevada,"Counter({'Restaurants': 494186219164353031487134720, 'Shopping': 391877665099644257853115712, 'Home Services': 316146116885925263730916711, 'Food': 279590856463666519342853630, 'Health & Medical': 271639446054882545419161600, 'Beauty & Spas': 258618285707488318970822592, 'Local Services': 207140830326446203338706928, 'Automotive': 179598626225899497599295228, 'Nightlife': 143257702448905837752930304, 'Event Planning & Services': 136173442422703865707454464, 'Active Life': 128104608931153438950658015, 'Professional Services': 122298889278418185358315504, 'Arts & Entertainment': 110689871967991661405970399, 'Hotels & Travel': 84372861632917263183687680, 'Financial Services': 64620244776141388767928319, 'Education': 50246983438949523354918912, 'Pets': 42843395219611997856978944, 'Local Flavor': 19827987850121325064921088, 'Religious Organizations': 8981388529444289135247360, 'Mass Media': 5326427932185613581680640})",36.097164,-115.294495,w spring valley,1.28105E+26,1.1069E+26,1.79599E+26,2.58618E+26,5.0247E+25,1.36173E+26,6.46202E+25,2.79591E+26,2.71639E+26,3.16146E+26,8.43729E+25,1.9828E+25,2.07141E+26,5.32643E+24,1.43258E+26,4.28434E+25,1.22299E+26,8.98139E+24,4.94186E+26,3.91878E+26
"Charlemagne, QC",charlemagne,QC,"Counter({'Restaurants': 32395363831863736590517504973120403222922002286093, 'Food': 11894928567873711925231277168811823474200280163001, 'Shopping': 5340441958491448889924823805845550937524695929677, 'Nightlife': 4788971409871677330964775985368363817324736854196, 'Event Planning & Services': 2834058585323362792923651889194847954074395928160, 'Hotels & Travel': 2271518059287033300380413321217960061430509073425, 'Beauty & Spas': 2230638716238313951584561128477370678789848990623, 'Active Life': 1696427287753909711043318315911371671268999652539, 'Arts & Entertainment': 1574414698688168136659448698229963664306501790094, 'Health & Medical': 997918007791121007033572141937959398914386366576, 'Local Services': 918739667240222319741054863823853438478415106399, 'Home Services': 787336373972788824665663412727257771778232661434, 'Automotive': 735540022107167458624601893856534693627497493922, 'Pets': 395618751838763135664360277809884064695434006404, 'Local Flavor': 391532298105959821477852533596000784477506500666, 'Education': 325054324433306775751532326849150211630653466350, 'Professional Services': 231109537496984230966640124278478452941657346952, 'Financial Services': 73450853637935097517037177026462026843888392618, 'Religious Organizations': 55082030460603248775904170921071139965007618492, 'Mass Media': 27516522872103239700527856532249272246371374603})",45.72044391,-73.49347387,charlemagne,1.69643E+48,1.57441E+48,7.3554E+47,2.23064E+48,3.25054E+47,2.83406E+48,7.34509E+46,1.18949E+49,9.97918E+47,7.87336E+47,2.27152E+48,3.91532E+47,9.1874E+47,2.75165E+46,4.78897E+48,3.95619E+47,2.3111E+47,5.5082E+46,3.23954E+49,5.34044E+48
